uuid	lineage	susceptibility	genotype
b05ab496-f9b8-49bc-87b7-2db8db8603fd	239	RRRSRSRSRRRS	MRSA:PVL*
bae2bb3b-0346-43d3-90c4-b93cccea53ca	239	RRRSRSRSRRRS	MRSA:PVL*
7974bd48-41e7-46bf-9f3d-43eab06dc6f5	239	RRRSRSRSRRRS	MRSA:PVL*
18b2430c-c0f4-4fd4-82de-6cde46a4f7dd	239	RRRSRSRRRRRS	MRSA:PVL*
f8f3404d-ac58-4dcc-a977-30dc9738934c	239	RRRSRSSRRRRS	MRSA:PVL*
4bc7ae85-53d3-465e-91f8-eae9c57aa3bb	239	RSSSRSRSRRRS	MRSA:PVL*
fa3333bb-ae2b-4034-ae7f-8e668b3592a7	239	RRRSRSRSRRRS	MRSA:PVL*
bebdf86c-2c8c-4c84-a5e9-4b017926f5ee	239	RRRSRSSSRRRS	MRSA:PVL*
792af143-dad0-4207-95de-c64770c34647	239	RRRSRSRRRRRS	MRSA:PVL*
27bbd3c8-f844-47cc-825c-5136d1bc858a	239	RRRSRSRSRRRS	MRSA:PVL*
122ffa1b-8ac3-4f6f-b0fa-d95b030c2766	239	RRRSRSRRRRRS	MRSA:PVL*
447bc8da-aa4d-49ce-9d5b-4bcb6cd338ca	239	RSRSRSRRRRRS	MRSA:PVL*
c51bdcd1-d04c-42a9-aae8-fcb62e9a67f1	239	RSRSRSRRRRRS	MRSA:PVL*
4c0ad900-dc10-4057-8097-aa7d1a1395dd	239	RSRSRSRRRRRS	MRSA:PVL*
eda5cd68-432d-4742-bfac-ffc53a27844f	239	RRRSRSRRRRRS	MRSA:PVL*
8d8f4535-09eb-4315-8a6e-5d4420aa1e0f	239	RRRSRSRSRRRS	MRSA:PVL*
5bc3bcd6-b76b-4066-bdb4-6c19f30fe228	239	RRRSRSRSRRRS	MRSA:PVL*
74c639ed-802d-42f7-bb19-2c99845bf57a	239	RRRSRSRSRRRS	MRSA:PVL*
f4d28298-f800-4744-a710-4856441fa9d5	239	RRRSRSRSRRRS	MRSA:PVL*
e8d27222-9951-4173-9c7a-637963434936	239	RRRSRSRRRRRS	MRSA:PVL*
2a4a869a-172f-4a80-bca5-ed008ed31e92	239	RRRSRSRSRRRS	MRSA:PVL*
890d30b9-558f-45a7-9389-b3207c3f3c0a	239	RRRSRSRSRRRS	MRSA:PVL*
1b242c9a-c228-439c-91fd-af0f0f2ac0f1	239	RRRSRSRSRRRS	MRSA:PVL*
530d8dab-9698-49e2-b5fc-ed6817fed13d	239	RSRSRSRRRSRS	MSSA:PVL*
7a82929b-bc0e-464c-a8e5-ac8d116afef6	368	RSRSRSSSRRRS	MRSA:PVL*
e9b91b5f-0a2b-4543-b911-cc5a4a7a4fa6	239	RSRSRSRRRRRS	MRSA:PVL*
e1b6c319-2907-4dc4-a3f5-d71aafc03cd6	239	RSRSRSRRRRRS	MRSA:PVL*
f47fc400-2145-46a8-a542-ee88717c0c13	239	RSRSRSRRRSRS	MSSA:PVL*
3791177c-6ec9-47f3-a18f-ec9d6bd7a25c	239	RSRSRSRRRSRS	MRSA:PVL*
423a9648-a2c0-4df6-b16b-d45c1507940d	239	RRRSRSRSRRRS	MRSA:PVL*
46f6cdc0-c2f7-4fd8-a14d-724f6b558a10	239	RRRSRSRRRRRS	MRSA:PVL*
3fffb8d2-9d03-4a9b-a146-0df974c066ca	239	RRRSRSRRRRRS	MRSA:PVL*
d14fae79-52a8-42ec-beb6-61b27da70ceb	239	RRRSRSRSRRRS	MRSA:PVL*
042ae55f-e2f3-4799-a72c-cdb87f2fb2ef	239	RRRSRSRRRRRS	MRSA:PVL*
3544bcae-cf66-4189-a16b-59a5f77b7150	239	RSRSRSRSRRRS	MRSA:PVL*
b1607389-17e9-47b9-8436-82c1aab44098	239	RRRSRSRSRRRS	MRSA:PVL*
a2f283c8-a32d-442a-ad64-22c1fe9a4d70	239	RSSSRSRSRRRS	MRSA:PVL*
e9ed41db-0605-445d-97d5-f3fd00366369	239	RRRSRSRRRRRR	MRSA:PVL*
