uuid	lineage	genotype	susceptibility
6e201b00-ef02-4a41-86d0-bb73e11bb599	323	KL21-O3b	
05379e1b-e006-448e-9fc5-799a58f1237e	111	KL63-O1v2	
0ab116e5-a558-4f91-a9cc-1b30a77f5f60	416	KL30-O2v2	
bc0ff63e-183a-42cd-b560-03f8bc3c2124	111	KL113-O1v2	
811f1501-6803-4451-aafe-9766f66881be	37	KL14-OL104	
2856b09e-6eea-4775-97d1-bad7fb386652	105	KL102-O2v2	
9a64a645-2416-4c7e-822b-0230fb67ef6c	23	KL1-O1v2	
287d4830-a0e3-46d7-9d90-83ae8f24fe63	1694	KL63-O1v2	
03ed8585-983d-4aab-8221-c53c06677f86	3041	KL30-O1v2	
c6122147-68b8-425a-aa22-da5a1fc80223	3046	KL22-O3b	
2d312972-8b99-4b35-9bbb-61cd01ecc05a	661	KL47-OL101	
26307e0f-459a-4674-b922-cde026cc6c70	23	KL1-O2v2	
bb4e9ec5-4382-42c5-a1d2-459cbc019d30	3050	KL36-O4	
5f4b3018-7a16-47d1-b2e7-b0932ae33926	111	KL113-O1/O2v2	
b41c83d0-b2b5-4d64-9857-e7e8818cb7db	185	KL130-O1/O2v2	
4d8d7351-a25f-40ba-a6d8-3a1719d1622a	45	KL24-O2v1	
d680f0a2-d14e-45f7-a4e9-ecc87ec57707	2415	KL131-O4	
f54bbccb-ece7-4ab7-b41f-f960c2cf2aeb	323	KL21-O3b	
3ab99f25-6828-4b9e-8291-744a462fd8af	323	KL21-OL104	
914c9a6a-f38d-420e-b3cc-959de8149cfe	268	KL20-O2v1	
522c4a97-adc8-4418-a37c-d45fdd3c97a6	603	KL22-O3b	
55bb16e6-5a2c-4cdb-a1fb-3a026a80f185	1307	KL127-OL101	
d39404c5-3ca1-47af-b737-c1a1f295e37b	611	KL71-O3b	
47fd46d4-aa1b-49a0-be5a-cafcbb603f17	1583	KL102-O2v2	
f2cdb69e-c092-4722-aa87-c3130de6af3f	22	KL9-O2v2	
bdcc4988-cb89-47b1-b62e-80a2dfb3f626	133	KL116-O1v1	
4712c4ea-0257-4db1-b1fe-f611510cc289	27	KL2-O2v2	
9f30608e-cbc0-4ce8-b1ba-1540017c698d	45	KL24-O2v1	
e00405e1-39a5-4b2b-9795-e8427cdf1d55	690	KL30-O1v2	
de0d7eba-b202-4aa6-89fe-9a3f220bd038	3064	KL54-O1v2	
d6b7910c-9c8f-47a1-9ccd-d447a75024ac	247	KL10-O3b	
8f98a68d-0086-4d2f-876a-853a1a76cd17	229	KL63-O1v1	
afcf37f6-b601-46cf-9ff8-75f48296d06e	520	KL2-O1v2	
